sales_fact_dec_1998.product_id,sales_fact_dec_1998.time_id,sales_fact_dec_1998.customer_id,sales_fact_dec_1998.promotion_id,sales_fact_dec_1998.store_id,sales_fact_dec_1998.store_sales,sales_fact_dec_1998.store_cost,sales_fact_dec_1998.unit_sales
173,748,2094,54,1,4.29,1.8447,3
1119,748,2094,54,1,9.51,3.5187,3
1242,748,2094,54,1,7.92,2.8512,4
460,748,2094,54,1,6.44,2.7048,4
104,748,2094,54,1,11.67,3.9678,3
27,748,2094,54,1,7.95,3.816,3
67,748,1277,54,1,7.44,2.9016,4
217,748,1277,54,1,2.72,0.8432,4
666,748,1745,54,1,2.67,1.335,3
1122,748,1745,54,1,2.22,0.777,3
899,748,1745,54,1,5.76,2.7072,3
423,748,1745,54,1,4.41,1.764,3
1438,748,1745,54,1,2.74,1.0686,2
145,748,1745,54,1,9.08,4.086,4
760,748,1745,54,1,7.48,2.3188,4
57,748,1745,54,1,3.05,1.342,5
960,748,2312,54,1,8.6,3.87,4
517,748,8943,54,1,10.2,3.366,3
787,748,8943,54,1,2.98,1.2218,2
804,748,8943,54,1,6.63,1.989,3
754,748,8943,54,1,5.14,2.4158,2
904,748,8943,54,1,6,2.64,4
41,748,8943,54,1,2.67,0.8544,3
82,748,1447,54,1,5.4,2.268,2
924,748,1447,54,1,8.1,3.402,3
1513,748,1447,54,1,7.6,2.584,4
211,748,1447,54,1,10.88,5.0048,4
933,748,1447,54,1,10.14,4.6644,3
1470,748,1447,54,1,9.64,2.9884,4
979,748,1447,54,1,7.56,2.8728,2
242,748,5933,54,1,7.77,2.8749,3
446,748,5933,54,1,11.25,4.05,3
663,748,5933,54,1,5.28,1.848,3
1158,748,5933,54,1,2.64,1.0824,2
1554,748,5833,54,1,7.62,2.9718,3
938,748,2433,54,1,3.22,1.5778,2
316,748,2433,54,1,2.62,1.1004,2
1038,748,2433,54,1,2.22,0.888,3
129,748,4350,54,1,6.2,2.046,4
1031,748,5624,54,1,3.63,1.2705,3
449,748,5624,54,1,7.38,2.2878,2
638,748,5624,54,1,9.45,3.1185,3
1214,748,5624,54,1,2.64,0.9504,2
266,748,2094,54,1,4.86,1.8954,3
1187,748,2094,54,1,6.6,2.046,3
711,748,2094,54,1,11.56,5.78,4
582,748,2094,54,1,11.4,5.7,3
239,748,2094,54,1,6.63,2.3868,3
715,748,2467,54,1,4.65,1.8135,3
1397,748,2467,54,1,5.72,2.002,4
592,748,2467,54,1,7.44,2.8272,3
1328,748,2467,54,1,6.78,3.1866,3
1505,748,2467,54,1,11,4.62,4
436,748,3523,54,1,6.12,2.6316,4
652,748,3523,54,1,5.01,1.6533,3
3,748,3523,54,1,2.49,1.2201,3
392,748,3523,54,1,5.2,1.612,4
696,748,7231,54,1,2.16,0.8424,3
286,748,7231,54,1,4.26,1.7466,3
1101,748,7231,54,1,7.86,3.4584,3
213,748,7231,54,1,1.68,0.5544,3
176,748,7231,54,1,6.81,3.3369,3
1018,748,7231,54,1,2.79,0.8649,3
163,748,1554,54,1,7.14,2.9274,3
326,748,1554,54,1,7.41,3.1863,3
666,748,1554,54,1,3.56,1.1036,4
350,748,1554,54,1,4.89,1.956,3
1298,748,1554,54,1,5.36,1.9296,4
11,748,1554,54,1,10.53,3.4749,3
872,748,6369,54,1,5.04,2.016,2
17,748,704,54,1,8.97,3.1395,3
739,748,704,54,1,4.76,1.7136,2
1275,748,704,54,1,3.51,1.6497,3
493,748,704,54,1,5.28,2.112,2
676,748,9887,54,1,6.58,2.0398,2
733,748,9887,54,1,7.8,2.496,4
150,748,9887,54,1,17.25,6.0375,5
339,748,9887,54,1,4.2,1.596,3
916,748,9887,54,1,10.28,3.598,4
1159,748,9887,54,1,7.56,2.3436,2
843,748,9887,54,1,8.82,2.9988,3
724,748,9425,54,1,14.7,6.174,5
979,748,9425,54,1,15.12,4.536,4
1356,748,9425,54,1,4.8,1.968,3
1519,748,9425,54,1,3.24,1.1988,4
549,748,9425,54,1,8.4,2.772,5
1485,748,9425,54,1,3,1.26,2
649,748,9425,54,1,7.65,2.3715,3
1186,748,9425,54,1,3.36,1.5792,2
680,748,3958,54,1,5.88,2.058,4
1483,748,3958,54,1,6.39,2.1726,3
1046,748,3958,54,1,3.32,1.0956,2
1529,748,3958,54,1,13.08,4.3164,4
81,748,3958,54,1,6.39,2.8755,3
164,748,3958,54,1,11.88,4.3956,4
1472,748,3958,54,1,6.6,2.442,3
204,748,4531,54,1,6.4,3.008,4
940,748,4531,54,1,8.52,3.9192,3
1117,748,4531,54,1,14.56,6.6976,4
1000,748,4531,54,1,5.38,2.0982,2
1350,748,4531,54,1,2.76,0.8832,3
1445,748,4531,54,1,2.22,0.6882,3
754,748,6048,54,1,7.71,2.8527,3
504,748,6048,54,1,5.52,2.3736,3
1253,748,6048,54,1,5.13,1.7955,3
151,748,6048,54,1,11.64,5.7036,4
694,748,7976,54,1,8.85,3.4515,3
271,748,7976,54,1,9.48,3.0336,4
1293,748,8544,54,1,5.76,2.7648,4
1176,748,8544,54,1,6.84,2.3256,4
1526,748,8544,54,1,8.25,3.7125,5
477,748,8544,54,1,3.44,1.3072,4
920,748,8544,54,1,1.46,0.5402,2
5,748,8544,54,1,8.76,3.7668,4
1193,748,8544,54,1,1.78,0.8722,2
1476,748,8544,54,1,6.78,2.8476,3
1393,748,3168,54,1,7.4,2.664,4
974,748,3168,54,1,2.37,1.1139,3
1377,748,3168,54,1,8.49,2.8866,3
581,748,3168,54,1,8.52,2.8116,3
585,748,3168,54,1,8.72,2.7904,4
1400,748,3168,54,1,2.58,1.1352,3
98,748,3168,54,1,5.49,1.7019,3
475,748,3168,54,1,7.83,3.8367,3
1323,748,7734,54,1,8.82,4.2336,3
1473,748,7734,54,1,7.08,2.6904,3
